genus_species,order,family,genus,species,lowest_taxon,comments
Adinia xenica,Cyprinidontiformes,Fundulidae,Adinia,xenica,A. xenica,
Agonostomus monticola,Mugiliformes,Mugilidae,Agonostomus,monticola,A. monticola,
Ameiurus melas,Siluriformes,Ictaluridae,Ameiurus,melas,A. melas,
Ameiurus natalis,Siluriformes,Ictaluridae,Ameiurus,natalis,A. natalis,
Anchoa mitchilli,Clupeiformes,Engraulidae,Anchoa,mitchilli,A. mitchilli,
Anguilla rostrata,Anguilliformes,Anguillidae,Anguilla,rostrata,A. rostrata,
Aphredoderus sayanus,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus,A. sayanus,
Astyanax mexicanus,Characiformes,Characidae,Astyanax,mexicanus,A. mexicanus,
Brevoortia patronus,Clupeiformes,Clupeidae,Brevoortia,patronus,B. patronus,
Callinectes sapides,Decapoda,Portunidae,Callinectes,sapidus,C. sapidus,not fish
Callinectes sapidus,Decapoda,Portunidae,Callinectes,sapidus,C. sapidus,not fish
cyprinella lutrensis,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C. lutrensis,
Cyprinella lutrensis,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,C. lutrensis,
Cyprinella venusta,Cypriniformes,Leuciscidae,Cyprinella,venusta,C. venusta,
Cyprinodon variegatus,Cyprinidontiformes,Cyprinodontidae,Cyprinodon,variegatus,C. variegatus,
Cyprinus carpio,Cyprinidontiformes,Cyprinidae,Cyprinus,carpio,C. carpio,
Dormitator maculatus,Gobiiformes,Eleotridae,Dormitator,maculatus,D. maculatus,
Dormitor maculatus,Gobiiformes,Eleotridae,Dormitator,maculatus,D. maculatus,
Dorosoma cepedianum,Clupeiformes,Clupeidae,Dorosoma,cepedianum,D. cepedianum,
Dorosoma petenense,Clupeiformes,Clupeidae,Dorosoma,petenense,D. petenense,
Etheostoma gracile,Perciformes,Pecidae,Etheostoma,gracile,E. gracile,
Fundulus chrysotus,Cyprinidontiformes,Fundulidae,Fundulus,chrysotus,F. chrysotus,
Fundulus grandis,Cyprinidontiformes,Fundulidae,Fundulus,grandis,F. grandis,
Fundulus notatus,Cyprinidontiformes,Fundulidae,Fundulus,notatus,F. notatus,
Gambusia affinis,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G. affinis,
Gobiomorus dormitor,Gobiiformes,Eleotridae,Gobiomorus,dormitor,G. dormitor,
Herichthys cyanoguttatus,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,H. cyanoguttatum,
Ictalurus punctatus,Siluriformes,Ictaluridae,Ictalurus,punctatus,I. punctatus,
Ictiobus bubalus,Cypriniformes,Catostomidae,Ictiobus,bubalus,I. bubalus,
Labidesthes sicculus,Atheriniformes,Atherinopsidae,Menidia,beryllina,M. beryllina,L. sicculus is not distributed in South Texas. Changed to Inland silverside sk
Lepisosteus oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,L. oculatus,
Lepomis auritus,Centrachiformes,Centrarchidae,Lepomis,auritus,L. auritus,
Lepomis cyanellus,Centrachiformes,Centrarchidae,Lepomis,cyanellus,L. cyanellus,
Lepomis gulosus,Centrachiformes,Centrarchidae,Lepomis,gulosus,L. gulosus,
Lepomis Gulosus,Centrachiformes,Centrarchidae,Lepomis,gulosus,L. gulosus,
Lepomis humilis,Centrachiformes,Centrarchidae,Lepomis,humilis,L. humilis,
Lepomis macrochirus,Centrachiformes,Centrarchidae,Lepomis,macrochirus,L. macrochirus,
Lepomis marginatus,Centrachiformes,Centrarchidae,Lepomis,marginatus,L. marginatus,
Lepomis megalotis,Centrachiformes,Centrarchidae,Lepomis,megalotis,L. megalotis,
Lepomis microlophus,Centrachiformes,Centrarchidae,Lepomis,microlophus,L. microlophus,
Lepomis miniatus,Centrachiformes,Centrarchidae,Lepomis,miniatus,L. miniatus,
Lepomis spp.,Centrachiformes,Centrarchidae,Lepomis,spp.,L. spp.,needs to be transformed to common sunfish taxa
Lucania parva,Cyprinodontiformes,Fundulidae,Lucania,parva,L. parva,
Micropterus punctulatus,Centrachiformes,Centrarchidae,Micropterus,salmoides,M. salmoides,unlikely ID. Replaced with micropterus salmoides -sk
Micropterus salmoides,Centrachiformes,Centrarchidae,Micropterus,salmoides,M. salmoides,
Minidia beryllina,Atheriniformes,Atherinopsidae,Menidia,beryllina,M. beryllina,
Mugil cephalus,Mugiliformes,Mugilidae,Mugil,cephalus,M. cephalus,
Notropis texanus,Cypriniformes,Leuciscidae,Notropis,texanus,N. texanus,
Noturus gyrinus,Siluriformes,Ictaluridae,Noturus,gyrinus,N. gyrinus,
Oreochromis aureus,Cichliformes,Cichlidae,Oreochromis,aureus,O. aureus,
pimephales vigilax,Cypriniformes,Leuciscidae,Pimephales,vigilax,P. vigilax,
Pimephales vigilax,Cypriniformes,Leuciscidae,Pimephales,vigilax,P. vigilax,
Poecilia formosa,Cyprinidontiformes,Poeciliidae,Poecilia,formosa,P. formosa,
Poecilia latipinna,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,P. latipinna,
Pomadasys crocro,Eupercaria,Haemulidae,Pomadasys,crocro,P. crocro,
Pomoxis annularis,Centrarchiformes,Centrarchidae,Pomoxis,annularis,P. annularis,
Pomoxis nigromaculatus,Centrarchiformes,Centrarchidae,Pomoxis,nigromaculatus,P. nigromaculatus,
Pylodictis olivaris,Siluriformes,Ictaluridae,Pylodictis,olivaris,P. olivaris,
Trinectes maculatus,Pleuronectiformes,Achiridae,Trinectes,maculatus,T. maculatus,
