vector,axis1,axis2,r2,p
Algae, 0.83,-0.56,0.49,0.12  
Canopy, 0.87,-0.49,0.17,0.58  
Conductivity,-0.35,-0.94,0.29,0.35  
Flow,-1.00,-0.03,0.09,0.82  
Max Depth, 0.89, 0.46,0.04,0.93  
Nitrate,-0.96,-0.30,0.91,0.00**
A.melas, 0.03,-0.06,0.24,0.56  
A.natalis, 0.03,-0.06,0.24,0.56  
C.carpio,-0.05,-0.02,0.27,0.44  
C.lutrensis, 0.05,-0.38,0.77,0.01* 
C.variegatus,-0.07,-0.02,0.27,0.44  
F.grandis, 0.05, 0.05,0.18,0.78  
G.affinis, 0.00, 0.39,0.83,0.00**
H.cyanoguttatum,-0.27,-0.15,0.97,0.00**
L.auritus, 0.03, 0.09,0.32,0.23  
L.cyanellus, 0.06, 0.02,0.26,0.46  
L.gulosus, 0.00,-0.05,0.01,0.93  
L.macrochirus, 0.39,-0.05,0.66,0.03* 
L.megalotis, 0.49,-0.11,0.95,0.00**
L.microlophus, 0.02, 0.05,0.32,0.23  
L.miniatus, 0.01, 0.01,0.18,0.78  
L.oculatus, 0.07, 0.02,0.27,0.43  
M.salmoides, 0.05, 0.01,0.14,0.72  
N.gyrinus, 0.06, 0.16,0.32,0.23  
N.texanus, 0.06, 0.07,0.23,0.47  
O.aureus,-0.03, 0.02,0.21,0.64  
P.latipinna,-0.72,-0.04,0.98,0.01* 
P.vigilax,-0.17, 0.00,0.88,0.01* 
