Group,Semi-Arid,Transition,Sub-Humid
Fish,75 (65:87)∗∗,36 (32:40)∗∗, 5 ( 1:10)∗∗
F-Herbivore,80 (60:96)∗ ,39 ( 8:77)  ,18 ( 3:51)∗ 
P.latipinna,80 (61:96)∗ ,39 ( 8:76)  ,18 ( 3:49)∗ 
F-Invertivore,61 (44:77)∗∗,36 (30:42)∗∗, 5 ( 1:11)∗∗
L.macrochirus,61 (25:91)∗ ,36 (16:52)  , 8 ( 1:19)∗ 
F-Piscivore,70 (42:92)∗ ,34 (22:42)∗ ,10 ( 2:21)∗∗
L.cyanellus,62 (22:92)  ,33 ( 8:52)  ,18 ( 3:45)  
L.gulosus,62 (28:92)  ,35 ( 8:67)  ,12 ( 2:33)  
Invertebrate,57 (38:73)∗ ,28 (20:35)∗ ,32 (10:55)  
I-Filterer,42 (13:73)  ,31 (10:50)  ,20 ( 4:51)  
Corbiculidae,41 (13:73)  ,30 ( 6:57)  ,20 ( 4:48)  
I-Gatherer,46 ( 6:92)  ,27 (11:42)  ,46 (10:85)  
I-Predator,62 (30:86)  ,22 ( 8:32)  ,41 ( 7:85)  
Coenagrionidae,47 ( 6:91)  ,25 ( 6:50)  ,30 ( 4:74)  
< 100mm,68 (55:83)∗∗,34 (27:40)∗∗, 6 ( 1:15)∗∗
< 150mm,60 (12:94)  ,36 (16:47)  , 9 ( 2:20)  
< 50mm,78 (57:96)∗∗,38 (23:49)∗ ,18 ( 2:51)∗ 
> 150mm,55 (10:93)  ,33 (10:58)  , 7 ( 1:16)  
I-Herbivore,55 (17:91)  ,60 (33:91)  ,
