site,guild,element,mu,lower,upper,signif
Semi-Arid,Fish,Carbon,4.3282764,3.9533973340761346,5.209974844124096,NA
Transition,Fish,Carbon,4.362409360000001,4.007527398015902,5.242727220401379,NA
Sub-Humid,Fish,Carbon,5.686120970000001,5.169580569547042,7.221180594261346,NA
Semi-Arid,Invertebrate,Carbon,5.698772049999999,4.845954898223746,7.337279771360052,∗
Transition,Invertebrate,Carbon,6.006784769999999,5.119190895055693,8.102198643964808,∗
Sub-Humid,Invertebrate,Carbon,12.595323189999998,10.280835316668986,19.81444646208805,∗∗
Semi-Arid,Fish,Hydrogen,58.47998006934151,51.17043855620468,73.35532089626466,NA
Transition,Fish,Hydrogen,42.75258486863149,38.3839852842075,57.040228407263726,NA
Sub-Humid,Fish,Hydrogen,41.25516144761462,33.13190571044857,60.380306150129805,NA
Semi-Arid,Invertebrate,Hydrogen,54.13602320999999,40.74079512019558,88.30751763943077,NA
Transition,Invertebrate,Hydrogen,61.11431116195345,51.552620933022126,88.23699606454913,NA
Sub-Humid,Invertebrate,Hydrogen,70.43724160497963,59.31179011140126,107.96819855903033,NA
Semi-Arid,Fish,Nitrogen,6.983814457641532,6.128678742936371,8.979215240194545,NA
Transition,Fish,Nitrogen,8.325322984360866,7.8042032486003095,9.678967653618532,NA
Sub-Humid,Fish,Nitrogen,10.951313630000001,8.353952247867305,16.31654303694643,NA
Semi-Arid,Invertebrate,Nitrogen,11.608241721999999,9.942551814554507,17.05286199970969,∗
Transition,Invertebrate,Nitrogen,9.635778471903778,8.642617022752587,12.236362806951234,∗
Sub-Humid,Invertebrate,Nitrogen,4.997799989000001,4.273053698411922,6.651937912714725,∗∗
