labels,collection_date,year,month,day,axis1,axis2,c_type
Semi-Arid,2018-05-12,2018,5,12,-0.6109438155730466,0.035104332386502145,Site
Semi-Arid,2018-06-01,2018,6,01,-0.7251902856066199,-0.008337157704893407,Site
Semi-Arid,2018-07-01,2018,7,01,-0.6596057244365007,-0.2638939092614854,Site
Transition,2018-05-12,2018,5,12,0.4182234829413087,-0.9469739581164278,Site
Transition,2018-06-08,2018,6,08,0.32548782119159536,-0.6143490267757725,Site
Transition,2018-07-01,2018,7,01,0.20821208514606884,0.3476057037420752,Site
Sub-Humid,2018-05-04,2018,5,04,0.29946145993074186,0.5266791060120114,Site
Sub-Humid,2018-06-06,2018,6,06,0.26386255269604264,0.7760302476797921,Site
Sub-Humid,2018-07-05,2018,7,05,0.4804924237104099,0.1481346620381975,Site
C.lutrensis,NA,NA,NA,NA,0.04515768657706472,-0.3832984341749392,Species
G.affinis,NA,NA,NA,NA,-0.003261098150437064,0.3862049545229394,Species
H.cyanoguttatum,NA,NA,NA,NA,-0.27063094005086474,-0.14721500006563595,Species
O.aureus,NA,NA,NA,NA,-0.03243008346412095,0.023162882338036223,Species
P.latipinna,NA,NA,NA,NA,-0.7211850463719033,-0.03904712096884807,Species
P.vigilax,NA,NA,NA,NA,-0.16739867175886097,5.492070354470675e-4,Species
C.carpio,NA,NA,NA,NA,-0.0519984200671856,-0.017779669954162216,Species
C.variegatus,NA,NA,NA,NA,-0.06878744403302187,-0.023520292545760185,Species
L.gulosus,NA,NA,NA,NA,-0.003071919549402351,-0.05000483118497215,Species
F.grandis,NA,NA,NA,NA,0.04636131506840091,0.04922521465344551,Species
L.cyanellus,NA,NA,NA,NA,0.06254982242406142,0.01836969242904977,Species
L.macrochirus,NA,NA,NA,NA,0.39245180412009967,-0.0479903565963445,Species
L.megalotis,NA,NA,NA,NA,0.48510429137218464,-0.10612797155537317,Species
L.miniatus,NA,NA,NA,NA,0.013112960107836923,0.01392299323472587,Species
L.oculatus,NA,NA,NA,NA,0.06643042886396806,0.017609895116383792,Species
N.texanus,NA,NA,NA,NA,0.05782006506511244,0.06782945726575744,Species
L.auritus,NA,NA,NA,NA,0.03274685139703202,0.09323285335088641,Species
L.microlophus,NA,NA,NA,NA,0.017503928346184774,0.0498350563471937,Species
M.salmoides,NA,NA,NA,NA,0.050423709908236504,0.012517751199942069,Species
N.gyrinus,NA,NA,NA,NA,0.05535228157432815,0.15759228537996303,Species
A.melas,NA,NA,NA,NA,0.026214187373385864,-0.0563404929067929,Species
A.natalis,NA,NA,NA,NA,0.026214187373385864,-0.0563404929067929,Species
