site,m_group,TL_mu,TL_lower,TL_upper,TL_n
Semi-Arid,Fish,1.6900825020317394,1.5036332308493092,1.8717314620215149,28
Semi-Arid,Invertebrate,1.2257114133064455,1.0569402140511128,1.3994371924719857,16
Sub-Humid,Fish,3.117761864620896,2.965020024017217,3.27284522112774,54
Sub-Humid,Invertebrate,1.885339804862178,1.6111372213858481,2.1561807705871328,11
Transition,Fish,2.7607834712612886,2.566361436823582,2.951510974771981,44
Transition,Invertebrate,2.166054058405977,1.8696414131006107,2.4585532695609977,23
Semi-Arid,F-Herbivore,1.4337657989355044,1.246304179549659,1.627030946075687,11
Semi-Arid,F-Invertivore,1.7431058740646357,1.527335289012112,1.958890364036255,11
Semi-Arid,F-Piscivore,2.0627869423145273,1.5299199191994934,2.608113281884505,6
Semi-Arid,I-Filterer,1,1,1,4
Semi-Arid,I-Predator,1.3357576485509177,1.0533134896110354,1.6212465907691151,9
Sub-Humid,F-Herbivore,3.2494527032862575,2.843800707172709,3.6659280132706416,4
Sub-Humid,F-Invertivore,3.114496104763974,2.90605083896381,3.319588925794857,36
Sub-Humid,F-Piscivore,3.0885335789200203,2.884429588394719,3.292064067899296,14
Sub-Humid,I-Filterer,1.767840699263285,1.6772684108854712,1.858041961289652,3
Sub-Humid,I-Predator,1.890653676104272,1.5010924200781832,2.2770762265540934,5
Transition,F-Herbivore,2.5554026513736554,2.0610206553401476,3.0695478364582662,3
Transition,F-Invertivore,2.703286658265757,2.507666412293368,2.8985477229126446,25
Transition,F-Piscivore,2.889131145295738,2.472810141282444,3.2948525255388854,16
Transition,I-Filterer,1.442602609866901,0.9525114666787332,1.9152846198088076,5
Transition,I-Predator,2.373874271817604,1.977528410050896,2.7482946923175087,11
Semi-Arid,Corbiculidae,1,1,1,4
Semi-Arid,H.cyanoguttatus,1.8871957167652167,1.752370135265116,2.019450815445528,4
Semi-Arid,L.cyanellus,1.7155614532301333,1.1727214815901463,2.255046178154947,4
Semi-Arid,L.gulosus,1.7315214739219094,1.1247985175497752,2.331474710954919,3
Semi-Arid,L.macrochirus,1.657947759902472,1.2481935496473726,2.0703009108459174,3
Semi-Arid,P.latipinna,1.4337657989355044,1.2388592946161705,1.631124798151182,11
Sub-Humid,A.natalis,2.8622743076199493,2.7537539449496222,2.971403463268607,12
Sub-Humid,Corbiculidae,1.767840699263285,1.6789354867283084,1.8533288856826058,3
Sub-Humid,L.auritus,3.027770331397961,2.8142728425531782,3.2443387979171545,8
Sub-Humid,L.cyanellus,3.1745141655271634,2.9583206086906824,3.392082874110808,4
Sub-Humid,L.gulosus,2.941071889977793,2.877554309758289,3.0030727066272727,5
Sub-Humid,L.macrochirus,3.615083210977793,3.016218984637475,4.242239372559484,10
Sub-Humid,L.megalotis,2.9383859361153988,2.891373578731421,2.9874333966935076,4
Sub-Humid,L.microlophus,2.6897466302330457,2.601815676857706,2.7791237876730985,3
Sub-Humid,P.latipinna,3.2494527032862575,2.844192865419742,3.662955011959951,4
Transition,A.natalis,3.2764128468623954,2.7534790747421356,3.8091941173226602,3
Transition,Corbiculidae,1.2282249685165352,0.8632472871916587,1.5942532470374884,4
Transition,H.cyanoguttatus,2.8459279153497903,2.5180024283661355,3.1804304510355497,8
Transition,I.punctatus,3.342181977556767,3.2259508180780694,3.4578365598551106,3
Transition,L.cyanellus,2.1033109119317674,1.952186399436456,2.2549353112998802,8
Transition,L.gulosus,2.828806598332984,2.7350595415017773,2.922466026101106,3
Transition,L.macrochirus,2.335188139719538,2.1014627492000115,2.5588678951628125,9
Transition,P.latipinna,2.5554026513736554,2.0651296494655984,3.0535258934623295,3
