m_group,site,mu,lower,upper,signif
Invertebrate,Transition,97.30486352453751,61.48080158874458,146.09035234062526,NA
Fish,Transition,56.55122623010303,42.2142898603309,77.922744433912,NA
Invertebrate,Sub-Humid,92.14148721382237,44.353848593633984,172.7940698512231,NA
Fish,Sub-Humid,42.892053648205675,31.862986775061792,55.21085864526604,∗
Fish,Semi-Arid,88.26313417605816,60.35628075415659,132.61859408109174,∗
Invertebrate,Semi-Arid,100.88951908477586,57.1709250274897,164.94620220425068,NA
F-Herbivore,Transition,34.5094683349334,4.740189299436022,160.56582674358035,NA
F-Piscivore,Transition,60.064722106328034,33.80973286142982,99.49940286562398,NA
I-Gatherer,Transition,58.41601599884842,22.43068670566096,148.97463290507085,NA
I-Filterer,Transition,72.39422293875657,18.24595945741409,210.59448822099847,∗
I-Predator,Transition,58.276346855823235,28.27588007132999,112.3251868979137,NA
F-Invertivore,Transition,50.662256654062105,32.60434995697079,74.88782689194592,NA
F-Herbivore,Sub-Humid,17.677061905306086,4.482262355195145,58.99504674920297,NA
F-Piscivore,Sub-Humid,24.613513742808188,14.22221111599422,44.10864473226012,NA
I-Gatherer,Sub-Humid,100.4375042659767,1.6860686533667273,414.78744051655065,NA
I-Filterer,Sub-Humid,6.315457608233878,1.1092750296935305,29.12245100856709,NA
I-Predator,Sub-Humid,76.50924864850761,21.127992927808453,219.9896253892314,NA
F-Invertivore,Sub-Humid,47.32443267015381,32.70003149752262,64.95441547195703,NA
F-Herbivore,Semi-Arid,53.7335232561645,28.050308787878535,104.16016636639303,NA
F-Piscivore,Semi-Arid,87.30932095974765,27.432665918702543,224.55660497907033,NA
I-Filterer,Semi-Arid,2.436429827301467,0.9138752166371521,8.660795345591367,∗
F-Invertivore,Semi-Arid,31.59877782855116,16.74036711546592,60.85201248338674,NA
I-Gatherer,Semi-Arid,3.7953565453687945,0.19122924635165928,30.59869778744676,NA
I-Predator,Semi-Arid,181.8886064604058,61.94695578764088,357.1166642504047,NA
P.latipinna,Transition,34.16101502450455,6.017795767702367,149.8067933753665,NA
L.macrochirus,Transition,24.463238037531426,11.178030954023921,50.51659572555151,NA
L.gulosus,Transition,8.244036140439949,1.2909269591630461,41.005704053151035,NA
L.cyanellus,Transition,14.59882407551402,6.655097763610203,31.971583950108887,NA
P.latipinna,Sub-Humid,17.134506132328198,4.844444341490968,61.52723861944803,NA
L.macrochirus,Sub-Humid,92.65958798733588,41.88210976250738,179.90465643230306,NA
L.gulosus,Sub-Humid,1.0693375054804557,0.4260784473454346,3.4013028385289337,∗
L.cyanellus,Sub-Humid,6.1085425052713855,2.1368184327477153,22.92691595689588,NA
P.latipinna,Semi-Arid,53.59261393252297,27.620160805913955,104.55975349826076,NA
L.macrochirus,Semi-Arid,19.112860641192253,2.0497005867627434,79.86227524703996,NA
L.gulosus,Semi-Arid,35.18834557805157,6.9514092370321,169.94907295966445,∗
L.cyanellus,Semi-Arid,91.40912061178648,21.16124064706506,304.68946301706023,NA
